Zoo,Total
Adventure_aquarium,57
Bergen_county_zoo,74
Cape_may,149'
Cohanzick_zoo,38
Jenkinsons_aquarium,41
Liberty_SC,41
McFaul_environmental_center,19
Popcorn_park,34
Six_flags,40
Space_farm,41
Turtleback_zoo,105
